Albedo_BSA_Band1,Albedo_BSA_Band1_count,Albedo_BSA_Band2,Albedo_BSA_Band2_count,Albedo_BSA_Band3,Albedo_BSA_Band3_count,Albedo_BSA_Band4,Albedo_BSA_Band4_count,Albedo_BSA_nir,Albedo_BSA_nir_count,Albedo_BSA_vis,Albedo_BSA_vis_count,date,doy,month,year
0.3105539906103286,9,0.26305446293494705,9,0.3068587570621469,8,0.3177871674491392,9,0.18093290734824277,5,0.30919020715630885,8,2023-05-24,143,5,2023
0.2654326777609682,9,0.22735854765506808,9,0.27125176056338024,7,0.269160363086233,9,0.15748333333333334,5,0.27004577464788726,7,2023-05-29,148,5,2023
0.25916705069124424,12,0.22715009746588694,13,0.25273959571938165,11,0.2638364055299539,12,0.15673318385650226,5,0.25518549346016645,11,2023-05-31,150,5,2023
0.2655494736842105,13,0.23100451263537908,14,0.25339595719381686,11,0.2650011520737327,12,0.15688116591928253,5,0.25603686087990485,11,2023-06-01,151,6,2023
0.26190205011389517,11,0.22862451737451733,12,0.24787784431137722,10,0.268869020501139,11,0.15000753768844222,5,0.25489986996098823,9,2023-06-04,154,6,2023
0.26273303167420814,12,0.22427332601536765,12,0.24860204081632653,10,0.26909162895927596,12,0.14985678391959797,5,0.25622562674094707,9,2023-06-05,155,6,2023
0.2614943438914027,12,0.22411196487376506,12,0.24822576530612245,10,0.25864409030544483,11,0.15342250922509224,6,0.24478364565587735,8,2023-06-06,156,6,2023
0.255422310756972,11,0.22431613611416024,12,0.24479863945578234,10,0.2592430278884462,11,0.15362177121771217,6,0.25259790732436477,9,2023-06-07,157,6,2023
0.35917277913610435,7,0.3107995110024451,7,0.34534096290449884,8,0.3585378973105135,7,0.21333630952380953,5,0.35261858190709056,7,2023-07-29,209,7,2023
0.3306707663197729,7,0.28129328287606437,7,0.3188703241895262,6,0.33159035004730375,7,0.17414795918367348,5,0.3165536159600998,6,2023-07-31,211,7,2023
0.33928334648776637,8,0.29024625098658247,8,0.32716106719367594,7,0.33897395422257304,8,0.18848621553884715,6,0.32732905138339935,7,2023-08-01,212,8,2023
0.34007823960880196,7,0.2909845150774246,7,0.32755658436214,6,0.3398141809290954,7,0.19826456071076012,6,0.32760699588477366,6,2023-08-02,213,8,2023
0.339960880195599,7,0.2913308883455583,7,0.3269104938271606,6,0.3395949470252649,7,0.19822507403751233,6,0.32743004115226343,6,2023-08-03,214,8,2023
0.33720363062352016,8,0.28853906866614054,8,0.32497529644268786,7,0.33591759112519815,7,0.19668091168091173,7,0.3238033763654419,6,2023-08-04,215,8,2023
0.33576322020520916,8,0.2936458607095927,9,0.3299786898184689,8,0.33371553090332806,7,0.19564482431149102,7,0.33151109350237723,7,2023-08-05,216,8,2023
0.3485449172576833,6,0.3016548463356974,6,0.3421312056737589,6,0.3696669970267592,7,0.20196108949416347,5,0.346193853427896,6,2023-08-06,217,8,2023
0.34015569326103806,9,0.29234701781564687,9,0.32462854609929087,8,0.3492951200619675,9,0.22828163265306126,5,0.32899911347517735,8,2023-08-08,219,8,2023
0.3304352836879433,8,0.281497340425532,8,0.3191179078014185,8,0.3505486968449931,10,0.22815920398009948,5,0.3248280141843973,8,2023-08-09,220,8,2023
0.3641996672212978,14,0.3087344658024139,13,0.33835066555740434,14,0.3643752079866888,14,0.23760877192982457,5,0.3506277038269551,14,2023-08-22,233,8,2023
0.3718526315789473,14,0.32186061834769386,14,0.3449065170940171,12,0.3729469107551487,14,0.26136893203883493,5,0.35704700854700844,12,2023-08-26,237,8,2023
0.36777590460526316,15,0.3179324654190399,16,0.3411289881494986,14,0.36877508223684213,15,0.26060776699029126,5,0.3534949863263445,14,2023-08-27,238,8,2023
